,p,x,y
116,4.131093194926875e-21,-0.01,0.0016
117,4.131344259100918e-21,-0.01,0.0017
118,4.131610548214792e-21,-0.01,0.0018
119,4.131892035789102e-21,-0.01,0.0019
120,4.132188750932306e-21,-0.01,0.002
121,4.1325007228294154e-21,-0.01,0.0021
122,4.132827883578439e-21,-0.01,0.0022
123,4.1331702902701166e-21,-0.01,0.0023
124,4.133527958431537e-21,-0.01,0.0024
125,4.133900806489939e-21,-0.01,0.0025
126,4.134288905642218e-21,-0.01,0.0026
127,4.1346922716363654e-21,-0.01,0.0027
128,4.135110836992016e-21,-0.01,0.0028
129,4.1355446592508784e-21,-0.01,0.0029
130,4.135993712726045e-21,-0.01,0.003
131,4.136457999570185e-21,-0.01,0.0031
132,4.136937549782242e-21,-0.01,0.0032
133,4.137432337889971e-21,-0.01,0.0033
134,4.137942407929322e-21,-0.01,0.0034
135,4.1384676790170734e-21,-0.01,0.0035
136,4.139008237001996e-21,-0.01,0.0036
137,4.1395640566996834e-21,-0.01,0.0037
138,4.140135112992009e-21,-0.01,0.0038
139,4.140721450288836e-21,-0.01,0.0039
140,4.141323043616752e-21,-0.01,0.004
141,4.141939895856421e-21,-0.01,0.0041
142,4.142572023856423e-21,-0.01,0.0042
143,4.143219444541878e-21,-0.01,0.0043
144,4.1438821193259484e-21,-0.01,0.0044
145,4.144560079173499e-21,-0.01,0.0045
146,4.145253327331719e-21,-0.01,0.0046
147,4.145961839319926e-21,-0.01,0.0047
148,4.146685674129842e-21,-0.01,0.0048
149,4.1474247657208224e-21,-0.01,0.0049
150,4.14817915933165e-21,-0.01,0.005
151,4.148948858572846e-21,-0.01,0.0051
152,4.149733867127603e-21,-0.01,0.0052
153,4.1505341609373905e-21,-0.01,0.0053
154,4.1513497716401035e-21,-0.01,0.0054
155,4.1521806892270054e-21,-0.01,0.0055
156,4.153026945489594e-21,-0.01,0.0056
157,4.1538885027411155e-21,-0.01,0.0057
158,4.154765379005791e-21,-0.01,0.0058
159,4.155657592385438e-21,-0.01,0.0059
160,4.1565651471434636e-21,-0.01,0.006
161,4.157488047615757e-21,-0.01,0.0061
162,4.158426242534627e-21,-0.01,0.0062
163,4.159379819886334e-21,-0.01,0.0063
164,4.160348728544955e-21,-0.01,0.0064
165,4.1613330009738154e-21,-0.01,0.0065
166,4.162332627945742e-21,-0.01,0.0066
167,4.1633476142262e-21,-0.01,0.0067
168,4.164377978580766e-21,-0.01,0.0068
169,4.1654236980649755e-21,-0.01,0.0069
170,4.166484777656085e-21,-0.01,0.007
171,4.167561264201379e-21,-0.01,0.0071
172,4.168653134968109e-21,-0.01,0.0072
173,4.1697603812185726e-21,-0.01,0.0073
174,4.1708830221557075e-21,-0.01,0.0074
175,4.1720210770611286e-21,-0.01,0.0075
176,4.173174565295341e-21,-0.01,0.0076
177,4.174343408698103e-21,-0.01,0.0077
178,4.175527696474114e-21,-0.01,0.0078
179,4.1767273924249055e-21,-0.01,0.0079
180,4.1779425161952135e-21,-0.01,0.008
181,4.179173059608737e-21,-0.01,0.0081
182,4.1804190843130916e-21,-0.01,0.0082
183,4.181680498565967e-21,-0.01,0.0083
184,4.182957406023625e-21,-0.01,0.0084
185,4.184249729018354e-21,-0.01,0.0085
186,4.185557543463095e-21,-0.01,0.0086
